USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448  1352 ?        Ss   May05   0:02 /sbin/init
root         2  0.0  0.0      0     0 ?        S    May05   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    May05   0:00 [migration/0]
root         4  0.0  0.0      0     0 ?        S    May05   0:01 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    May05   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    May05   0:00 [migration/1]
root         8  0.0  0.0      0     0 ?        S    May05   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    May05   0:01 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    May05   0:00 [migration/2]
root        12  0.0  0.0      0     0 ?        S    May05   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    May05   0:00 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    May05   0:00 [migration/3]
root        16  0.0  0.0      0     0 ?        S    May05   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    May05   0:00 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    May05   0:00 [migration/4]
root        20  0.0  0.0      0     0 ?        S    May05   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    May05   0:00 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    May05   0:01 [migration/5]
root        24  0.0  0.0      0     0 ?        S    May05   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    May05   0:00 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    May05   0:00 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    May05   0:00 [migration/6]
root        28  0.0  0.0      0     0 ?        S    May05   0:00 [migration/6]
